Classical;Basal;Normal_Stroma;Activated_Stroma
HN1;LOC100133869;HSPA12A;ICAM1
HNF1A;LOC100144595;HSPA2;IER3
HNF4A;LOC145757;HSPB2;IFI16
HNF4G;LOC152719;HTR2A;IFI30
HOTAIR;LOC26010;HTR2B;IFI44L
HOXA13;LOC283454;ICK;IGFBP3
HOXB3;LOC284120;ID4;IGFBP5
HOXB6;LOC286359;IFT88;IGFBP7
HOXC6;LOC344887;IGF1;IGFL2
HPDL;LOC392382;IGFBP4;IGSF21
HPGD;LOC441251;IGFBP6;IGSF6
HRASLS2;LOC442249;IL11RA;IKIP
HS3ST5;LOC541469;IL17B;IL13
HSD11B2;LOC554202;IL17RD;IL13RA1
HSD17B11;LOC642521;IL22;IL1R1
HSD17B2;LOC643650;IL33;IL4I1
ICA1;LOC645212;IL3RA;IL8
IDH1;LOC647211;IL6;INHBA
IFI27;LOC654170;IL6ST;IQGAP1
IFI6;LOC654433;ILK;ISG15
IFT172;LOC727941;INHBB;ISLR
IGSF22;LOC728034;INPP5A;ISM1
IGSF8;LOC728257;ITGA7;ITGA1
IGSF9;LPCAT2;ITGA8;ITGA11
IL10RB;LPGAT1;ITIH5;ITGAM
IL28RA;LRAT;ITM2A;ITGAV
IL2RG;LRRC4B;ITPR1;ITGAX
IL7;LRRC6;JAM2;ITGB1
IL9;LRRC63;JAM3;ITGB2
INPP1;LRRC8A;KANK2;ITGB3
IQCE;LRRN1;KAT2B;ITGB5
IQGAP2;LY6D;KATNAL2;ITGBL1
ISX;LY6E;KCNA2;ITPR2
ITLN1;LYPD3;KCNA4;ITPRIP
ITPKA;LYPD5;KCNAB1;ITPRIPL2
IYD;LYPLA1;KCNB1;JUNB
JOSD1;MALL;KCND3;KAL1
JRKL;MAPK13;KCNIP4;KCND2
JUP;MBOAT2;KCNJ8;KCNE4
KBTBD11;MCART3P;KCNK2;KCNK13
KCNE3;MDFI;KCNMA1;KCTD12
KCNH8;MED15;KCNMB1;KCTD20
KCNK1;MET;KCNMB4;KDELC1
KCNK10;MFI2;KCNS2;KDELR3
KCNK5;MGC2848;KCTD10;KIAA0247
KCNK6;MGC34774;KCTD15;KIAA0644
KCNQ1;MIG7;KCTD3;KIAA1217
KCTD14;MLF1;KCTD4;KIF13A
KIAA0284;MMP10;KCTD9;KIF26B
KIAA0323;MMP13;KDSR;KIF7
KIAA0494;MMP28;KGFLP1;KIRREL
KIAA0746;MPZL2;KGFLP2;KLF6
KIAA1199;MPZL3;KIAA0256;KYNU
KIAA1211;MREG;KIAA0355;LACTB
KIAA1239;MRPL42P5;KIAA0894;LAIR1
KIAA1305;MSL3L2;KIAA1045;LAMB1
KIAA1543;MTA3;KIAA1107;LATS2
KIF13B;MTL5;KIAA1324L;LEF1
KITLG;MTP18;KIAA1462;LEPRE1
KLF3;MUC16;KIDINS220;LEPREL2
KLF4;MYEOV;KIF25;LGALS1
KLF5;NAB1;KIFAP3;LGMN
KLHDC6;NCK1;KLF8;LHFPL2
KLHL23;NCRNA00162;KLF9;LIF
KLK10;NEBL;KLHDC1;LIMS1
KLK11;NEK11;KLHDC5;LIMS3
KLK12;NFE2L3;KLHL13;LIX1L
KLK7;NGEF;LAMA2;LMCD1
KRT12;NMB;LAMA4;LOC100126784
KRT18;NMBR;LAMB2;LOC100128056
KRT18P30;NMI;LAMB4;LOC100128178
KRT18P42;NMU;LAMC1;LOC100129397
KRT18P49;NOX5;LARP6;LOC100129754
KRT2;NPAL3;LCA5;LOC100131283
KRT20;NPEPPS;LCN6;LOC100131532
KRT8;NR1D1;LDB2;LOC100133627
KRT8P15;NRIP1;LDHB;LOC100192378
KRTCAP3;NT5C2;LEP;LOC283658
LAD1;NTF4;LEPROT;LOC284242
LASP1;NTSR1;LGI1;LOC285548
LASS6;NUDT16P;LGI2;LOC338620
LCOR;NUDT4;LGI4;LOC387763
LCT;NUFIP2;LHFP;LOC389386
LDLR;NUP62CL;LHX6;LOC391334
LFNG;OBFC1;LIFR;LOC401076
LGALS3;ORMDL2;LIMS2;LOC401097
LGALS4;OSBPL3;LIPE;LOC401577
LGALS9;OSMR;LIPF;LOC440181
